,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.1,seurat_clusters,assign.ident,assign.score,Amp_batch,source,patient,assign.CIBERSORT,assign.curated,assign.level3_anno,assign.level1_anno
W694233_GSM3496332_AB2518_Tumo,0,1467.0,547,0,0,CD8Tex,3.0066744286892493,47,1,24,CD8Tex,CD8Tex,CD8Tex,0
W841441_GSM3496355_AB2910_Tumo,0,3352.0,1178,7,7,Mono/Macro,4.5137206227938425,70,1,28,Mono/Macro,Mono/Macro,Monocyte,0
WMC218930_GSM3496397_AB3937_Tu,0,4647.0,1511,16,16,Fibroblasts,0.5163241565316956,112,1,19,Fibroblasts,Fibroblasts,Fibroblasts,1
W841934_GSM3496356_AB2911_Tumo,0,3350.0,1126,7,7,Mono/Macro,4.5137206227938425,71,1,28,Mono/Macro,Mono/Macro,Monocyte,0
WMC626755_GSM3496464_AB5016_Tu,0,1487.0,600,0,0,CD8Tex,3.0066744286892493,179,1,22,CD8Tex,CD8Tex,CD8Tex,0
WMC0036740_GSM3496375_AB3091_T,0,1549.0,600,2,2,B,4.4137903050582095,90,1,29,B,B,B,0
WMC0038199_GSM3496379_AB3095_T,0,1469.0,620,2,2,B,4.4137903050582095,94,1,29,B,B,B,0
WMC0108451_GSM3496385_AB3278_T,0,1504.0,568,0,0,CD8Tex,3.0066744286892493,100,1,13,CD8Tex,CD8Tex,CD8Tex,0
W693140_GSM3496330_AB2516_Tumo,0,1292.0,566,1,1,CD8Tex,4.089338694095589,45,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC624944_GSM3496460_AB5012_Tu,0,4050.0,1086,13,13,B,1.9443252866230427,175,1,22,B,pDC,pDC,0
W687717_GSM3496315_AB2501_Tumo,0,1859.0,674,2,2,B,4.4137903050582095,30,1,6,B,B,B,0
W691970_GSM3496326_AB2512_Tumo,0,4661.0,1860,6,6,CD8Tex,3.0350785138802134,41,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0110795_GSM3496391_AB3284_T,0,2114.0,787,2,2,B,4.4137903050582095,106,1,13,B,B,B,0
W687347_GSM3496314_AB2500_Tumo,0,1949.0,638,2,2,B,4.4137903050582095,29,1,6,B,B,B,0
